4.86 10 40 0.46 19.3 21.3 2.2 0.56
2.9 7 32 4 25 8 10.5 0.85
2.3 6.5 37 3.5 35 7.5 5.8 0.78
1.7 6 43 3 45 7 2.7 0.35
1.4 5.5 50 2.5 55 6.5 1.8 0.33
1.3 5.2 60 1.5 61 4.8 0.9 0.60
1.17 7 30.7 4.03 85.3 2.3 5 0.75
1.14 4.21 28.9 2.1 61 2.8 11 0.81
4.7 18 11 4 19 8.3 12 0.55
1.25 1.83 43 0.76 72 0.03 6 0.44
1.7 6 43 3 45 7 2.8 0.38
2.3 6.5 37 3.5 35 7.5 6 0.45
2.9 7 32 4 25 8 13 0.97
1.4 5.5 50 2.5 55 6.5 1 0.23
1 4 60 2 65 5 1 0.13
0 2.3 58 1.02 0 15 2.6 0.8
6.4 0 102 0.75 15 22 2.5 0.72
0.85 3 60 1.2 75 3.5 0.5 0.25
2.5 4.3 30 4.2 40 6.5 11 0.98
1 3.4 55 1.5 55 4 0.9 0.36
1.8 4 40 3.5 45 6 8 0.57
1.3 3.7 50 2.5 50 5 4.5 0.64
1 2 55 3.5 55 8 3.6 0.46
1.2 3 50 4.2 50 9 7.5 0.67
2.3 3.5 40 5 45 10 10.2 0.69
0.9 1 60 2.5 60 7 1 0.31
0.75 0.8 71 2.3 66 6.8 0.9 0.3
1.4 14.2 8 1.8 28 0.7 12 0.8
2.5 4.2 10 1.5 40 1.1 10.5 0.74
7.6 1.3 61 0.2 7 17 1.5 0.65
